Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,RoomService_used,FoodCourt_used,ShoppingMall_used,Spa_used,VRDeck_used,CryoSleep_False,CryoSleep_True,CryoSleep_Unknown,VIP_False,VIP_True,VIP_Unknown,Transported_False,Transported_True,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_unknown,Side_P,Side_S,Side_unknown,spent_money_False,spent_money_True,Age_group_0-25,Age_group_26-45,Age_group_46-60,Age_group_60+,Age_group_Unknown,Route_Earth-55 Cancri e,Route_Earth-PSO J318.5-22,Route_Earth-TRAPPIST-1e,Route_Earth-Unknown,Route_Europa-55 Cancri e,Route_Europa-PSO J318.5-22,Route_Europa-TRAPPIST-1e,Route_Europa-Unknown,Route_Mars-55 Cancri e,Route_Mars-PSO J318.5-22,Route_Mars-TRAPPIST-1e,Route_Mars-Unknown,Route_Unknown-55 Cancri e,Route_Unknown-PSO J318.5-22,Route_Unknown-TRAPPIST-1e,Route_Unknown-Unknown
39.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24.0,1.7405504459900154,1.1947055233182953,1.448822238365871,1.9892320942500197,1.570002974208493,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58.0,1.5653166550596793,2.217275511411634,0.0,2.283631403104651,1.5916858743493758,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33.0,0.0,2.098966616276768,1.934255909204192,2.2094525744904527,1.8354346948604652,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16.0,1.9046457503503968,1.6606403793348097,1.795731656444039,1.9931472818006903,0.7412763113750152,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44.0,0.0,1.9715897178889294,0.0,1.8986319116885528,0.0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0,1.5604997616108318,2.121007782628919,0.8697416861919438,0.0,0.0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,0.0,2.036919769035797,1.358504720646626,1.8531520084405109,0.0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34.0,0.0,0.0,,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45.0,1.5451936315479267,2.2920378187127675,1.9987902423904949,1.742136743805324,1.7627277196400848,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32.0,1.6684735252826461,0.0,2.0825179335367863,0.0,1.7467966996992919,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48.0,2.0254144100795135,0.5265890341390445,1.6466671712706678,0.0,1.4395687003478856,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,1.1622831138840004,2.064637179769757,1.2711498482847257,0.7412763113750152,1.1247482629090362,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,1.503300998004841,0.0,2.0511072646690747,0.0,0.0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0,2.099252650263104,1.7599564649868773,,0.0,0.0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24.0,0.0,0.5265890341390445,0.0,0.0,2.009332639181276,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
